Pos,ReservNr,Bedarfsmenge,BME,Material,BedTermin,BME.1,Gel,KdA-Pos,Auftrag,Angel.am,Uhrzeit
4370,3194976,1,ST,c9ef50e29a33e82964c62c7d3756fadd,22.07.24,ST,X,0,4059175,21.06.24,14:56:37
4432,3194976,1,ST,749186ebb96b2ae09cb86b9447a166e4,22.07.24,ST,X,0,4059175,21.06.24,14:57:55
4465,3194976,1,ST,537e1dd0e502c490c751f26287fab59f,22.07.24,ST,X,0,4059175,21.06.24,14:58:40
4481,3194976,1,ST,e422fdd6ae96f9c367f8b526ec8b95b3,22.07.24,ST,X,0,4059175,21.06.24,14:59:24
4526,3194976,1,ST,d54b3870bd4db7bcec5ccc71c850d6ca,22.07.24,ST,X,0,4059175,21.06.24,15:00:28
160,3289862,1,ST,5d908441e0611d6ecf78271c27578012,06.09.24,ST,X,0,4061994,21.06.24,15:03:02
161,3289862,1,ST,d14c48efe172cb6ff6e6cafaa9f9d097,06.09.24,ST,,0,4061994,21.06.24,15:03:09
162,3289862,1,ST,5ed095ebeef0c3c5eaf9a733e9b29eac,06.09.24,ST,,0,4061994,21.06.24,15:03:10
163,3289862,2,ST,8ccb2096a1c784b89d0e173145bd28fb,06.09.24,ST,,0,4061994,21.06.24,15:03:10
164,3289862,1,ST,5c0fd616dc5b6382d5036519fbea0032,06.09.24,ST,,0,4061994,21.06.24,15:03:10
165,3289862,1,ST,14f0f7626ad05afb239f75b0be43e885,06.09.24,ST,,0,4061994,21.06.24,15:03:10
166,3289862,1,ST,cedb6c2d3cd7ed0c3a8cabc9dd2ac74f,06.09.24,ST,,0,4061994,21.06.24,15:03:10
167,3289862,1,ST,415b05923bffd6421be230ea4c0df116,06.09.24,ST,,0,4061994,21.06.24,15:03:10
168,3289862,1,ST,e62e2c648762dfce15a0a96cd3d6f174,06.09.24,ST,,0,4061994,21.06.24,15:03:10
169,3289862,1.2,MM,c58fa90c302f74c2864968506cce4cef,06.09.24,MM,,0,4061994,21.06.24,15:03:10
170,3289862,1,ST,dd85a726217bf25bb2b2ff8e1fde018e,06.09.24,ST,,0,4061994,21.06.24,15:03:10
171,3289862,1,ST,d42982d78eca93b7ce6af45928d0db92,06.09.24,ST,,0,4061994,21.06.24,15:03:11
172,3289862,1,SA,82758851e61c685c9980ddf3bbd1b06e,06.09.24,SA,,0,4061994,21.06.24,15:03:11
173,3289862,1,ST,5d908441e0611d6ecf78271c27578012,06.09.24,ST,,0,4061994,21.06.24,15:03:11
1808,3134917,12,ST,520d41e922a7e94c9f5ea5000ec23603,28.06.24,ST,,0,4057416,21.06.24,15:20:26
1809,3134917,4,ST,f880b695350776857b8620bb84aeedd1,28.06.24,ST,,0,4057416,21.06.24,15:20:27
4371,3194976,1,ST,874b1a6761916c9103eccda962b50ab1,05.08.24,ST,,0,4059175,21.06.24,14:56:38
4382,3194976,1,ST,fcd677e5999f6113954f6243c1d4d15d,03.07.24,ST,,0,4059175,21.06.24,14:56:38
4389,3194976,1,ST,64ce1f590b681e01a5167d8e6d09e2fc,03.07.24,ST,,0,4059175,21.06.24,14:56:38
4403,3194976,1,ST,85425621ae848a0910547eef6b03a838,19.07.24,ST,,0,4059175,21.06.24,14:56:38
4405,3194976,1,ST,9c5ea133e989a3d9028d0911bedaba21,19.07.24,ST,,0,4059175,21.06.24,14:56:38
4411,3194976,3,ST,da1d7a366beb337a0dbb84f624e7ac0b,12.07.24,ST,,0,4059175,21.06.24,14:56:38
4414,3194976,1,ST,9a3a83970fc827bcd52de6648edfa442,12.07.24,ST,,0,4059175,21.06.24,14:56:38
4420,3194976,1,ST,6f1496ab8a93661c664eb41ad57cf3f1,12.07.24,ST,,0,4059175,21.06.24,14:56:38
4425,3194976,1,ST,2f6675669def19db67edb93582c1f29a,12.07.24,ST,,0,4059175,21.06.24,14:56:38
4431,3194976,1,ST,c9ef50e29a33e82964c62c7d3756fadd,03.07.24,ST,,0,4059175,21.06.24,14:56:38
4441,3194976,1,ST,ff1ad3101d47c0ae8455bfd74b576673,03.07.24,ST,,0,4059175,21.06.24,14:57:56
4442,3194976,1,ST,cd2c4496a7df6a592ae1439f791f5746,03.07.24,ST,,0,4059175,21.06.24,14:57:56
4450,3194976,1,ST,ea179bd27e33bf412c82bf041eb99df5,03.07.24,ST,,0,4059175,21.06.24,14:57:56
4464,3194976,1,ST,749186ebb96b2ae09cb86b9447a166e4,03.07.24,ST,,0,4059175,21.06.24,14:57:56
4480,3194976,1,ST,537e1dd0e502c490c751f26287fab59f,03.07.24,ST,,0,4059175,21.06.24,14:58:40
4487,3194976,1,ST,ff1ad3101d47c0ae8455bfd74b576673,03.07.24,ST,,0,4059175,21.06.24,14:59:25
4488,3194976,1,ST,cd2c4496a7df6a592ae1439f791f5746,03.07.24,ST,,0,4059175,21.06.24,14:59:25
4493,3194976,1,ST,5661a7d62aad8fb76653cd21131ffb98,03.07.24,ST,,0,4059175,21.06.24,14:59:25
4495,3194976,1,ST,ea179bd27e33bf412c82bf041eb99df5,03.07.24,ST,,0,4059175,21.06.24,14:59:25
4518,3194976,1,ST,fcd677e5999f6113954f6243c1d4d15d,03.07.24,ST,,0,4059175,21.06.24,14:59:25
4525,3194976,1,ST,e422fdd6ae96f9c367f8b526ec8b95b3,03.07.24,ST,,0,4059175,21.06.24,14:59:25
